Search_term,Start_day,Start_month,Start_year,End_day,End_month,End_year
Anheuser InBev,11,June,2008,6,December,2008
Kona Craft,2,August,2010,2,January,2011
Portland Pyramid,26,January,2004,26,June,2004
Huber Mountain Crest,20,September,2006,20,February,2007
